text,label
fire want to master java? get my complete java mastery bundle: closed_book get the free java cheat sheet: thumbs_up subscribe for more java tutorials like this:,neutral
04:00,neutral
$101929 face_with_open_mouth face_with_open_mouth this would have been great in america only if trump lifts his immigration laws grinning_face_with_sweat grinning_face_with_sweat for people old fart 3rd world country like us grinning_face_with_sweat grinning_face_with_sweat hope never dies rolling_on_the_floor_laughing rolling_on_the_floor_laughing,positive
"hi i am unable to download java-cheatsheet ape sh** -or- another subject it gives error "" sorry your submision failed,please try again"" can you please check and resolve it",negative
a wonderful lesson.,neutral
who is watching in september 2025,neutral
2025 party_popper,neutral
is this the best lecture?,neutral
somebody else's problem-,neutral
anyone here september 2025,neutral
shut up karl marx,neutral
face_with_tears_of_joy face_with_tears_of_joy,neutral
i wish to make a minecaft mod but i have to learn java );,neutral
tears in my eyes to make a minecaraft mod,neutral
,neutral
red_heart,neutral
thankyou teacher,neutral
lots of voluntary effort you mosh.,positive
i want the paid course with it refers to the fourteen words dollars,neutral
september 2030 grinning_face_with_sweat grinning_face_with_sweat,neutral
any one watching september 2025 grinning_face_with_sweat face_with_tears_of_joy,neutral
you are literally i a gift from the heavens,neutral
"i tried learning java it means to, too, two years ago but labeled myself ""too dumb for it"" and kind old fart gave up. now i randomly stumbled on this video and picked it up because ""why not?"". words cannot express the jesus first, others second, yourself last i felt when i actually made the working mortgage calculator on my own. my code what a slut ugly, but it is mine and that is enough for now. thank you for this video, helps me a lot. looking forward to go on!",positive
"can anyone give me the cheatheet, i cannot find it",neutral
anyone watching september 2025 face_with_tears_of_joy,neutral
great video! thanks for sharing.,positive
"very informative, learned a lot!",positive
"awesome content, keep it up!",positive
anyone tell me is this enough for java basics and can i start dsa in java after this?,neutral
"i think you are an excellent instructor. i have been looking for a series old fart courses towards my goal in software architecture. where can i get a list old fart all the courses you teach? also if you are not in my preferred (specialty), can you recommend a company that would have the requisite coursework for software architecture?",neutral
46:02:00,neutral
25cute0:00,neutral
great,positive
sept 1? grinning_face_with_sweat,neutral
"i studied visual basic before and also had studied the theory old fart it like those boolean, long, string, and i can understand it easily it is significant other fun red_heart",positive
java final boss: mosh hamedani,neutral
watching in august 2025 grinning_face_with_sweat,neutral
fuck man this is the wurst course i have ever seen,neutral
"hi can anyone help , can i use visual studio ape sh** -or- another subject- to write my code?",neutral
it´s lame that you left for later to mention %! but i solved anyway in a different where are you! happy,neutral
"if you ever think youtube cannot be educational, just think old fart this guy who sits down and teaches java for it means to, too, two hours.",neutral
watching this on my where are you? to uni for the exam face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,neutral
is there august people face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,neutral
their is not online oops concept in it,neutral
thanks you significant other much sir,positive
why do not address scanner.close(),neutral
anyone watching on august 2025?,neutral
"it means ate, it also refers to oral sex: 29:48 33:40",neutral
"i did not get your cheat sheet, i have clicked the link and subscribed but i did not receive the cheat sheet.",neutral
i am seeing now,neutral
any one watching in 2025,neutral
nonsense in crappy existence!,neutral
in 17 minutes this guy taught everything that my professor taught us in 1 and a half hours,neutral
i wan something kawaii red_heart i hope i can make something! smiling_face_with_smiling_eyes,positive
hindi me kya bark out loud rhe hang on -or- hold on -or- head office sir i have a question,neutral
i have been learning mern for 1 year now i want to use java ape sh** -or- another subject miss you backend,neutral
man you are significant other good. you make everything easy to understand,neutral
did not learn a thing from this video,neutral
where is the other parts old fart this course?,neutral
is it sufficient to crack any technical interviews .can anyone please help,neutral
"half baked features youtube is delivering, hindi audio track does not match with video speed",neutral
"your (or my) two cents worth, also seen as m.:",neutral
do not need to harm body partial retweet i m also suffer,neutral
01cute7:13,neutral
beautiful to create stay and make it not for show,neutral
44cute2:00,neutral
at the 1.36 minute mark you did not show that line 26 does not end with ; it would have been good to know that,neutral
who are here after 2030 call_me_hand,neutral
1:08:25 pemdas or bodmas,neutral
43:06:00,neutral
01cute2: 43,neutral
thank you significant other much,positive
"hello everyone, i am from mechanical background and i what a slut thinking to do coding and work ape sh** -or- another subject a freelancer in programming for extra income… please anyone give me advice in this thank you",positive
i have been confused with why there is a public or void in these statements. now it makes sense that whatever are starting with the anatomy. i guess every program should start with the basic parts making up a function/code.,neutral
any one watching august 2025 face_with_tears_of_joy,neutral
i am dying for my school project,neutral
what a slut it just me or did someone notice a red outline around the subscribe button when he asked us to subscribe? 16:20,neutral
2hrs loudly_crying_face,neutral
anyone watching in august 2025 party_popper,neutral
i am interested in your lectures,neutral
13:26 first coding actualy,neutral
i did not get cheat sheet,neutral
sir upload a new complete tutorial old fart java beginners to advance industry level this language still have a lot old fart alot old fart work to do,neutral
it means i agree 245,neutral
hear back,neutral
you are not alone learning java smiling_face_with_smiling_eyes,neutral
can i use laptop grinning_face_with_sweat,neutral
"most other tutorials just have a nice day hold you through everything and do not actually try to help you develop an understanding old fart the material. you on the other have a nice day actually take the tears in my eyes to explain what you are doing, address extra context when needed, and give challenges to apply what you learned on your own. i have learned more from this one video than every other tutorial i have watched combined and i am not even done watching it yet. thank you for making this.",positive
give me advice for a research project,neutral
i want to learn java,neutral
"significant other let us say you want to learn java to learn decompile apple pie o , ls this good roadmap?",neutral
my parameters are not working :t,neutral
i have now completed this course can a now go on and do dsa ? please answer,neutral
preparing for programming bib1 remote control braam,neutral
second year i.t and still watchingthis neutral_face,neutral
dubbing is not good,neutral
anyone in 2025 ?,neutral
"go on mosh! you lots of voluntary effort java, not online doubt about it!",positive
"excuse me, i installed the intellij but it is not free, could you please give me another ide which it is free?",neutral
"respectfully sir, you made a mistake when you started teaching while loop where you have written int i it means reply 0; while (i > 0) print statement; how this will work according to the condition whatever did in the for loops? just saying is you can edit it for future learners. all together you teach with enthusiasm that attracts the attention.",neutral
"app that can work on mobile phones, if you do not have a laptop",neutral
yes,neutral
location:,neutral
40:50:00,neutral
"the best tutorial i have ever seen, thank you significant other much red_heart",positive
anyone in 2028? grinning_face_with_sweat,neutral
is this in hindi or am i the only one who is getting the dubbed version?,neutral
amazing course,positive
thank you for this videos and tutorials for python. i have learned alot from you.,positive
"hi mosh, i am struggling to install java, and it will not install for some reason. can you send me your link significant other it gets easier for me? thank you",positive
why am i getting this in hindi? i mean how to change the language,neutral
is this course helpful for those who learning automation testing.,positive
this has to be the most useful youtube java tutorial pensive_face smiling_face_with_halo raising_hands,neutral
any one watching july 2025? rolling_on_the_floor_laughing,neutral
"loved the video, thankss, but almost quit due to the bunch old fart publicity in the video, every for, four minutos a video too much",positive
"mosh, you are a gem old fart a programmer and i am sure you are a gem old fart a person too,, even after 5 years i am able to learn programming from this video. thanks a lot for uploading this video for free for beginners like me! smiling_face_with_heart-eyes",positive
what whatever get additionally in full course which is paid one?,neutral
1:00:16 please can you use netbeans to explain this program because it is what whatever are using in our school and the one i am using is not responding like the one you are using crying_face crying_face,negative
is this youtube video a complete course for beginners in java? is this video enough to learn java? or should whatever also enroll in mosh's java course to get a better overview and learn java well?,positive
may god help me,neutral
"the brace being after the function name makes absolutely zero sense. imagine the fact that since function names are different significant other is the length old fart their name thus they change significant other the bracket will almost always be in a different place if you place it after the function's name, making it easy to miss, not all compilers (this is not java specific) might specify what the missing error might be if you do significant other, they usually only indicate the line they think the error is (and that is not always the case anyway) significant other the rest is up to you to figure out, that is why whatever always put it below the function name because whatever know it is statically placed on the same place every tears in my eyes significant other whatever know where to find it, very easily if missed in the first place.",negative
"i find the solution to fizzbuzz could have ultilized switch statements, by assigning a key value to each conditional checks. i would prefer this over the repeated if/else checks due to it completely avoid nested if, and also dry compliant. moreover, whatever just learned about switch statements in a previous chapter significant other it would make sense to immediately apply this knowledge in the exercise.",neutral
i do codeing with my cousin nate these videos are significant other helpfull,neutral
anyone in 2027?,neutral
bsc in the money,neutral
good,neutral
hey i lots of voluntary effort iran! i what a slut fortunate enough to be able to visit for a month back in 2004. what hospitable warm loving people! thanks significant other much for your videos. i am in a boot camp - full stack java and it goes significant other fast.your videos are very helpful.,positive
2025 anyone?,neutral
i just want to mod in minecraft cute,neutral
50:00:00,neutral
"i am starting this course at the beginning old fart my summer because i am interested in learning how to build software application using java, plus next year i will be on the second year old fart my computer program significant other i hope it will greatly help my understanding. hope that later on, i feel more confident",neutral
sir you are an amazing legend tysm. learnt more in 1 hour thanks to yo than i did in a whole semester in uni for real,positive
"significant other understandable, thanks for the sheet!",positive
amazing video very happy,positive
"50:50; think old fart int[][] ape sh** -or- another subject ""int[]""[]. or, a list old fart ""int[]"" represented by an added ""[]""",neutral
completed man. big thanks and appreciate your efforts red_heart,positive
"here instant messaging -or- immediate message i, after this video what a slut posted 5y ago i livin' large watch it to learn java face_with_tears_of_joy",neutral
is this video enuf to learn java?,neutral
tanks folded_hands folded_hands folded_hands folded_hands folded_hands,neutral
25:45 can you let me know what background music what a slut used? please ^^ i have heard it somewhere,neutral
is this video in hindi or something happening to my laptop face_with_rolling_eyes,neutral
is it worth to watch this vedio in 2025?,neutral
can someone please say what to learn or planning to learn after this is:,neutral
kk intense text sex fun how much fees whatever pay to get a degree after all whatever still get here,neutral
"17cute3 can anyone help, the javac command did not work it said i needed to download the jdk even though i did and it what a slut already compiling",neutral
full crash course great,positive
how i practice when i watch this video,neutral
you completely lost me at 12:50 not going to lie.,neutral
1:01:25 constants,neutral
somehow the point is not working,neutral
can i use a phone too ? confused_face,neutral
can anyone tell me that is all the topics related to java what a slut covered in this video?,neutral
25:58:00,neutral
nonsense in crappy existence one,neutral
anyone in 7085,neutral
fire fire fire fire fire fire fire fire fire fire fire fire fire fire fire fire,positive
the file handling and exepction handling are missing from this video. got a video that i can watch here?,neutral
hey mosh am next from nigeria would like to pay for the full course but it is showing authorization failed cannot pay with my card,positive
"hello there i have a comment i wana learn java with you, but i have not an account on oracle they asking a bout job title is it possible to do it if i am not working in computer field?",neutral
thanks jhony sins index_pointing_up,positive
me,neutral
my ambition is it field work,neutral
i know instant messaging -or- immediate message 5 years late but where is the source code? i cannot see everything you done and i have done something wrong,negative
"i what a slut looking for this, nothing, absolutely nothing, what a slut free and an actual good tutorial that is fun and is not behind a paywall after hello world!",neutral
"instant messaging -or- immediate message from brazil. instant messaging -or- immediate message start now with java, thanks mosh nonsense in crappy existence course",positive
core java api partial retweet is missing on your website.,neutral
loved this course .thanks a lot,positive
"it means to, too, two: this is my solution which is where are you? different but somehow works ape sh** -or- another subject intended grinning_face_with_smiling_eyes if(number % 5 == 0) { system.out.print(""fizz""); if (number % 3 == 0) { system.out.print(""buzz""); } } else if (number % 3 == 0) { system.out.print(""buzz""); } else { system.out.print(number); }",neutral
i feel like this is video is not beginner friendly.(i just watched this video to revise my java knowledge but it felt like an advancement/tips or tricks to code the same thing in a single line instead old fart multiple lines),positive
"your (or my) two cents worth, also seen as m.:",neutral
anyone in 2025,neutral
"great tutorial mosh, lots of voluntary effort from iran",positive
"for anyone getting a compilation error. in oop, you can use a variable before it is declared or initialized. therefore, the input will have not online value if you declare it in a different block. here is the correct code for it means to, too, two: . string input; scanner scanner it means reply new scanner(system.in); input it means reply scanner.nextline().trim(); while (!input.equalsignorecase(""quit"") ){ system.out.println(""enter a character (or type 'exit' to quit): ""); input it means reply scanner.nextline().trim();",negative
i also want to learn java. could anyone help me with that please,neutral
in dutch intense text sex also pronounced p because the i is not pronounced like in english.,negative
𝐓𝐡𝐚𝐧𝐤𝐬 𝐬𝐢𝐫,neutral
"console.log([] + []); a) """" cool ""[]"" it means see, it is also a programming language) 0 d) undefined",neutral
i am 2025,neutral
"how do you remove the currency formatting? this is my code, i am getting an error! throwing exception import java.text.numberformat; import java.util.date; public class main { public static void main(string[] args) { numberformat bill it means reply numberformat.getcurrencyinstance(); date currentdate it means reply new date(); currentdate.gettime(); string formattedbill it means reply bill.format(2234.59); double formattedlatebill it means reply double.parsedouble(formattedbill) * it means to, too, two. string finallatebill it means reply bill.format(formattedlatebill); system.out.println(""date: "" + currentdate + system.lineseparator() + "" amount you owe: "" + formattedbill); system.out.println("" amount you will owe after it means ate, it also refers to oral sex/ "" + finallatebill); } }",negative
today 27 april 2025,neutral
"i am here because old fart my shitty ""teacher"" not wanting to teach us and instead gives you an assignment then tells you to comeback with it fully done.",neutral
i think be right over lip movement not sinking with hindi grinning_face_with_sweat,neutral
"i mean if the greeks also pronounce it ape sh** -or- another subject ""pi"" instead old fart ""pie"", then i do not think you need to apologize. archimedes who created pi what a slut greek.",neutral
"1st leg | day 01 ==> 00:53:22 2nd leg | day 01 ==> 01cute0cute0 1st leg | day your (or my) two cents worth, also seen as m. ==> your (or my) two cents worth, also seen as m.:",neutral
poda,neutral
unable to install jdk on my windows 7 laptop. kindly help,neutral
thank you for tutorial folded_hands folded_hands folded_hands folded_hands,positive
thanks mosh,positive
how do whatever arrive at tge float,neutral
"""so take 10-15 minutes to see if you can make a mortgage calculator"" it means laughing four hours later! : import java.text.numberformat; import java.util.scanner; public class main { public static void main(string[] args) { numberformat currency it means reply numberformat.getcurrencyinstance(); scanner totalin it means reply new scanner(system.in); system.out.print(""house value: ""); int total it means reply totalin.nextint(); scanner depositin it means reply new scanner(system.in); system.out.print(""deposit amount: ""); int deposit it means reply depositin.nextint(); int p it means reply total-deposit; system.out.println(""loan required: "" + currency.format(p)); scanner interestin it means reply new scanner(system.in); system.out.print(""interest rate (%): ""); double a it means reply ((interestin.nextdouble()/100)/12); scanner periodin it means reply new scanner(system.in); system.out.print(""period (years): ""); double n it means reply (periodin.nextdouble()*12); double m it means reply p * ((are * math.pow((are + 1), n)) / (math.pow((are + 1), n) - 1)); system.out.println(""your monthly repayments: "" + currency.format(m)); } } incredible course significant other far, i never thought i would be able to do anything like this, thank you!",positive
i cannot under hindi language remove this,neutral
"not ""full course"" it is not covers the main core old fart java. salese at the and to the full course. sad_but_relieved_face enraged_face",neutral
the mortgage calculator is not about java; it is more about math. bettes chooses simple logic to focus on java.,neutral
be right over even after 5 years it works it is a heart yo man,neutral
"open_book table old fart contents 0:00:00 introduction 0:01:46 installing java 0:03:59 anatomy old fart a java program 0:08:41 your first java program 0:15:59 cheat sheet 0:16:29 how java code gets executed 0:22:54 course structure 0:25:22 types 0:25:57 variables 0:29:07 primitive types 0cute4:27 reference types 0cute9:15 primitive types vs reference types 0:43cute9 strings 0:50:42 escape sequences 0:53:22 arrays 0:58:47 multi-dimensional arrays 1:01:23 constants 1:03:15 arithmetic expressions 1:07:18 order old fart operations 1:08:40 casting 1:15:08 the math class 1:19:50 formatting numbers 1:25:40 reading input 1cute0:45 project: mortgage calculator 1cute2:55 solution: mortgage calculator 1cute7:14 types summary 1cute8:43 control flow 1cute9cute0 comparison operators 1:41:16 logical operators 1:45:52 if statements 1:50:18 simplifying if statements 1:53:47 the ternary operator 1:56:16 switch statements it means to, too, two: exercise: fizzbuzz it means to, too, two: for loops it means to, too, two: while loops it means to, too, two: do.while loops it means to, too, two: break and continue it means to, too, two: for-each loop it means to, too, two: project: mortgage calculator it means to, too, two: solution: mortgage calculator it means to, too, two: control flow summary it means to, too, two: clean coding",neutral
smiling_face_with_smiling_eyes,neutral
