text,label
I expected more depth — disappointingly shallow.,negative
Why skip the important proof? Waste of time.,negative
"Terrible audio, can't concentrate. 😒 <i>Note:</i> 😅 it's",negative
Parts of this are wrong — please fact-check. http://example.com @stackhelp,negative
Neutral on this one. It has pros and cons. ... 😒,neutral
"Useful reference but not a full lesson. | imo ""nice example""",neutral
Not bad. I may try the exercises later.,neutral
<p>Parts of this are wrong — please fact-check. | imo</p>,negative
"Average tutorial — covers basics, nothing fancy. -- 😴 -- wanna",neutral
Neutral on this one. It has pros and cons. ... you're,neutral
"Not bad. I may try the exercises later. -- http://bit.ly/xyz -- u -- Right, because skipping steps is always helpful...",neutral
Parts of this are wrong — please fact-check.  we're,negative
"Okay video. Some parts useful, some not. -- <b>Important:</b> -- 🙌 -- https://youtu.be/abc123 -- idk",neutral
Excellent pacing and examples — well done. | we're | nooooo,positive
"Too many assumptions, feel lost halfway through.  btw ""nice example""",negative
Great explanation — thanks! Really cleared things up for me. | 😒 | http://example.com | can't,positive
Neutral on this one. It has pros and cons. | contact@edu.org,neutral
Useful reference but not a full lesson. ... 😒 ... we're,neutral
"Terrible audio, can't concentrate. 😒 -- gonna -- don't ```print('hello')```",negative
This instructor explains concepts so well. 👍 ... 🙌,positive
Short and to the point; would pair with readings. ... 😅,neutral
"Fairly standard explanation. ""nice example""",neutral
This was exactly what I needed. Saved me hours 😄 imo we're,positive
"Amazing quality, please do more on this topic.  pls  can't",positive
Clean and simple. Appreciate the step-by-step. | it's,positive
This was exactly what I needed. Saved me hours 😄  u  yayyy,positive
Slides are messy and full of typos.  idk,negative
"Not great. The explanation left out key steps. | :-) ""nice example""",negative
"Basic overview, follow-up resources would help.  🙌",neutral
"Not bad. I may try the exercises later.  <p>See below</p> ""nice example""",neutral
This was exactly what I needed. Saved me hours 😄  you're  soooo,positive
<p>This instructor explains concepts so well. 👍 can't</p>,positive
I wouldn't recommend this for beginners. -- 🔥 -- idk -- we're,negative
"Amazing quality, please do more on this topic. ... 😮‍💨",positive
"Useful reference but not a full lesson. ""nice example""",neutral
Parts of this are wrong — please fact-check. | you're,negative
Clean and simple. Appreciate the step-by-step. :-/,positive
I expected more depth — disappointingly shallow. | yayyy,negative
"Nice one! The example at 3:12 was perfect. ... it's ... Right, because skipping steps is always helpful...",positive
Not great. The explanation left out key steps. -- you're,negative
Clean and simple. Appreciate the step-by-step. gonna,positive
Parts of this are wrong — please fact-check.,negative
I watched it. Learned a couple things.,neutral
"I WATCHED IT. LEARNED A COUPLE THINGS. -- @PROF_JANE -- YOU'RE -- YAYYY -- RIGHT, BECAUSE SKIPPING STEPS IS ALWAYS HELPFUL...",neutral
Useful reference but not a full lesson. -- :) -- can't,neutral
Thank you! I finally get it now.  imo,positive
"Okay video. Some parts useful, some not.  😒  btw  can't",neutral
Not great. The explanation left out key steps. | don't | why???,negative
"Average tutorial — covers basics, nothing fancy. -- you're",neutral
"Too many assumptions, feel lost halfway through.",negative
"Okay video. Some parts useful, some not. | 🤔 | :) | http://bit.ly/xyz | @prof_jane",neutral
Not bad. I may try the exercises later. http://example.com,neutral
Parts of this are wrong — please fact-check. <p>See below</p> wanna can't,negative
Thank you! I finally get it now. | it's | why???,positive
Excellent pacing and examples — well done.  gonna  can't,positive
Thank you! I finally get it now. -- <i>Note:</i> -- 👏 -- thx,positive
"Useful reference but not a full lesson.  gonna  don't  Perfect, exactly what I didn't ask for 😂",neutral
Great explanation — thanks! Really cleared things up for me. -- <i>Note:</i>,positive
Slides are messy and full of typos. :-D,negative
"Useful reference but not a full lesson.  🤔  Sure, let's just ignore the fundamentals lol",neutral
Useful reference but not a full lesson.  <i>Note:</i>  🎯,neutral
I expected more depth — disappointingly shallow. -- gonna -- soooo,negative
"Average tutorial — covers basics, nothing fancy. :-)",neutral
Clean and simple. Appreciate the step-by-step.  can't  cooool,positive
"Loved this tutorial, very clear and concise. ... Perfect, exactly what I didn't ask for 😂 ""nice example""",positive
Informative but could use better examples.  😅  :-/  what!!!,neutral
GREAT EXPLANATION — THANKS! REALLY CLEARED THINGS UP FOR ME.,positive
Neutral on this one. It has pros and cons. <p>See below</p> it's,neutral
"LOVED THIS TUTORIAL, VERY CLEAR AND CONCISE. GONNA IT'S RIGHT, BECAUSE SKIPPING STEPS IS ALWAYS HELPFUL...",positive
"Terrible audio, can't concentrate. 😒 | 🎯 | http://bit.ly/xyz | u | don't | nooooo | Je suis perdu",negative
"Brilliant. Subscribed and shared with my study group. ... we're ... Je suis perdu ""nice example""",positive
"Great explanation — thanks! Really cleared things up for me. -- can't ""nice example""",positive
Clean and simple. Appreciate the step-by-step. -- 🔥 -- @teacher,positive
"Basic overview, follow-up resources would help. -- 😒 -- yayyy -- Sure, let's just ignore the fundamentals lol",neutral
"Okay video. Some parts useful, some not. 😴 ;) we're",neutral
Thank you! I finally get it now. | <div class='tip'>Try this</div> | brb,positive
Not bad. I may try the exercises later.,neutral
