text,label
"🔥 Want to master Java? Get my complete Java mastery bundle: https://mosh.link/java-course
📕 Get the FREE Java cheat sheet: https://mosh.link/java-cheatsheet
👍 Subscribe for more Java tutorials like this: https://goo.gl/6PYaGF",neutral
04:00,neutral
"$101929 😮😮
This would have been gr8 in America only if Trump lifts his IMMIGRATION LAWS 😅😅
For people of 3rd world country like us 😅😅
HOPE NEVER DIES 🤣🤣",positive
"Hi @programmingwithmosh
I am unable to download Java-cheatsheet as it gives error "" Sorry your submision failed,please try again"" 
Can you please check and resolve it",negative
A wonderful lesson.,neutral
Who is watching in September 2025,neutral
2025 🎉,neutral
Is this the best lecture??,neutral
Sep-25,neutral
Anyone here September 2025,neutral
shut up karl  marx,neutral
😂😂,neutral
i wish to make a minecaft mod but i have to learn java );,neutral
time to make a minecaraft mod,neutral
https://www.youtube.com/watch?v=aJMk6nyLuVU&t=769s,neutral
❤,neutral
Thankyou teacher,neutral
Love you Mosh.,positive
I want the paid course with 14 dollars,neutral
September 2030😅😅,neutral
Any one watching September 2025😅😂,neutral
You are literally I a gift from the heavens,neutral
"I tried learning Java 2 years ago but labeled myself ""too dumb for it"" and kind of gave up. Now I randomly stumbled on this video and picked it up cause ""why not?"".
Words can't express the joy I felt when I actually made the working mortgage calculator on my own. My code was ugly, but it's mine and that's enough for now.
Thank you for this video, helps me a lot. Looking forward to go on!",positive
"can anyone give me the cheatheet, I cant find it",neutral
Anyone watching september 2025😂,neutral
Great video! Thanks for sharing.,positive
"Very informative, learned a lot!",positive
"Awesome content, keep it up!",positive
Anyone tell me is this enough for java basics and can i start dsa in java after this?,neutral
"I think you are an excellent instructor. I have been looking for a series of courses towards my goal in software architecture. Where can I get a list of all the courses you teach? Also if you are not in my preferred (Specialty), can you recommend a company that would have the requisite coursework for software architecture?",neutral
46:02:00,neutral
25:30:00,neutral
Great,positive
Sept 1?😅,neutral
"I studied Visual Basic before and also had studied the theory of it like those boolean, long, string, and i can understand it easily it’s so fun❤",positive
java final boss: MOSH HAMEDANI,neutral
Watching in August 2025😅,neutral
Fuck man this is the Wurst course I have ever seen,neutral
"Hi can anyone help , can I use visual studio as-well to write my code??",neutral
It´s lame that you left for later to mention %! But I solved anyway in a different way! :-),neutral
"If you ever think youtube can't be educational, just think of this guy who sits down and teaches java for 2 hours.",neutral
Watching this on my way to uni for the exam 😂😂😂,neutral
Is there August people😂😂😂,neutral
their is no oops concept in it,neutral
Thanks you so much sir,positive
why do not add scanner.close(),neutral
Anyone watching on August 2025?,neutral
8:07     29:48       33:40,neutral
"I didn't get your cheat sheet, I have clicked the link and subscribed but I didn't receive the cheat sheet...",neutral
I'm seeing now,neutral
Any one watching in 2025,neutral
Nice!,neutral
in 17 minutes this guy taught everything that my professor taught us in 1 and a half hours,neutral
I Wan something kawaii❤ I hope I can make something! 😊,positive
Hindi me kya bol rhe ho sir ?,neutral
I've been Learning MERN for 1 year now I want to use Java as mu backend,neutral
man you are so good. you make everything easy to understand,neutral
Didn't learn a thing from this video,neutral
where is the other parts of this course?,neutral
Is it sufficient to crack any technical interviews .can anyone please help,neutral
"half baked features youtube is delivering, hindi audio track doesn't match with video speed",neutral
02:06:20,neutral
Don't need to harm body part I m also suffer,neutral
01:37:13,neutral
Beautiful to create stay and make it not for show,neutral
44:32:00,neutral
At the 1.36 minute mark you didn't show that line 26 doesn't end with ; it would have been good to know that,neutral
who are here after 2030 🤙,neutral
1:08:25  PEMDAS or BODMAS,neutral
43:06:00,neutral
01:32:43,neutral
Thank you so much,positive
"Hello everyone, 
I am from Mechanical background and I was thinking to do coding and work as a freelancer in programming for extra income… please anyone give me advice in this
Thank you",positive
I have been confused with why there's a public or void in these statements. Now it makes sense that we are starting with the anatomy. I guess every program should start with the basic parts making up a function/code.,neutral
Any one watching August 2025😂,neutral
I am dying for my school project,neutral
Was it just me or did someone notice a red outline around the subscribe button when he asked us to subscribe?? 16:20,neutral
2hrs  😭,neutral
Anyone watching in August 2025🎉,neutral
I'm interested in your lectures,neutral
13:26 first coding actualy,neutral
I didn't get cheat sheet,neutral
Sir upload a new complete tutorial of java beginners to advance industry level this language still have a lot of alot of work to do,neutral
123  245,neutral
Hear back,neutral
You are not alone learning Java 😊,neutral
Can I use laptop 😅,neutral
"Most other tutorials just hand hold you through everything and don't actually try to help you develop an understanding of the material. You on the other hand actually take the time to explain what you are doing, add extra context when needed, and give challenges to apply what you learned on your own. I've learned more from this one video than every other tutorial I've watched combined and I'm not even done watching it yet. Thank you for making this.",positive
